1,PARQUE DIADEMA,12
2,BOSQUE DO TRABALHADOR,33
3,BOSQUE DO TRABALHADOR,33
4,BOSQUE REINHARD MAACK,130
5,PARQUE DO SEMEADOR,254
6,JARDIM BOTANICO,289
7,PARQUE BARIGUI,40
8,PARQUE SAO LOURENCO,145
9,PARQUE TINGUI,68
10,PARQUE IGUACU,332
11,PARQUE ATUBA,323
12,PARQUE NASCENTE DO RIO BELEM,150
13,PARQUE TINGUI,57
14,PARQUE LINEAR CAJURU,347
15,PARQUE ITALIANO,4
16,PARQUE BARREIRINHA,157
17,BOSQUE DOUTOR MARTIM LUTERO,251
18,PARQUE LINEAR CAJURU,347
19,PARQUE IGUACU,340
20,PARQUE BARIGUI,25
21,BOSQUE PROFESSOR ERWIN GROGER,114
22,PARQUE LINEAR CAJURU,347
23,PARQUE IGUACU,340
24,BOSQUE DE PORTUGAL,275
25,VELODROMO MUNICIPAL,274
26,PARQUE LAGO AZUL,177
27,BOSQUE IRMA CLEMENTINA,336
28,PARQUE TULIO VARGAS,1
29,PARQUE GENERAL IBERE DE MATTOS,312
30,PARQUE VISTA ALEGRE,69
31,BOSQUE ZANINELLI,104
32,PARQUE GUTIERREZ,68
33,BOSQUE DO PILARZINHO,108
34,PASSEIO PUBLICO,134
35,BOSQUE ITALIANO,7
36,PARQUE CAIUA,12
37,PARQUE CAIUA,12
38,PARQUE DIADEMA,12
39,BOSQUE SAO NICOLAU,9
40,PARQUE DOS TROPEIROS,12
41,BOSQUE DA FAZENDINHA,31
42,BOSQUE DO CAPAO DA IMBUIA,329
43,BOSQUE JOAO PAULO II,122
44,PARQUE PASSAUNA,1
45,PARQUE PASSAUNA,9
46,PARQUE MANE GARRINCHA,9
47,PARQUE IGUACU,348
48,PARQUE IGUACU,332
49,PARQUE DIADEMA,12
50,PARQUE LINEAR DO BARIGUI,16
51,PARQUE YBERE,11
52,PARQUE BARIGUI,45
53,PARQUE DAS PEDREIRAS,114
54,PARQUE TANGUA,97
55,BOSQUE ALEMAO,122
56,SETOR ESPORTIVO PELADEIROS,338
57,PARQUE LINEAR CAJURU,347
58,PARQUE IGUACU,313
59,PARQUE CAMBUI,22
60,JARDIM ZOOLOGICO,281
61,PARQUE GUAIRACA,22
62,PARQUE TANGUA,106
63,PARQUE CAIUA,12
64,BOSQUE DO PILARZINHO,124
65,BOSQUE DO PILARZINHO,124
66,PARQUE GUAIRACA,31
67,PARQUE GUAIRACA,31
68,BOSQUE DOS MUNDIAIS,61
69,BOSQUE 300 ANOS,177
70,BOSQUE GOMM,86
71,PARQUE MAIRI,20
72,PARQUE MANE GARRINCHA,9
73,PARQUE LINEAR DO BARIGUI,12
74,PARQUE IGUACU,348
